Article_ID,Title,Link,Authors,Publication_Year,Province,Land_Use_Type,Sample_Type,Concentration (mg/kg) except PHg,Background Concentration (mg/kg),Latitude,Longitude,Compliance with SA Standard for all land uses protective of water,Compliance with Australian Standards,Compliance with Canadian Standards,Compliance with US EPA Standard
1,A scoping study of component-specific toxicity of mercury in urban road dusts from three international locations,https://doi.org/10.1007/s10653-019-00351-1,"Andrew D. Brown, Bongani Yalala, Ewa Cukrowska, Ricardo H. M. Godoi, Sanja Potgieter-Vermaak",2019,Gauteng,CBD,Outdoor dust ,THg (<50um) = 0.482; THg (50-100um) = 0.117,None,-26.2041,28.0473,Yes,Yes,Yes,Yes
2,"A study of the soil geochemistry of the Platreef in the Bushveld Complex, South Africa",https://doi.org/10.1016/0375-6742(85)90004-4,C. Frick,1985,Limpopo,Mining ,Soil,THg (along faults associated wth Platreef mineralisation) = 0.05 - 0.320,THg = 0.02 - 0.035,-24.185,28.995,Yes,Yes,Yes,Yes
3,"Analysis of the Distribution of Some Potentially Harmful Elements (PHEs) in the Krugersdorp Game Reserve, Gauteng, South Africa",https://doi.org/10.3390/min10020151,"Michael Shapi, et al.",2020,Gauteng,Mining ,Soil,THg (<180um) = 0.03 - 0.4,THg = 0.04,-26.1,27.7667,Yes,Yes,Yes,Yes
4,Assessing the enrichment of heavy metals in surface soil and plant (Digitaria eriantha) around coal-fired power plants in South Africa,https://doi.org/10.1007/s11356-013-2432-0,"Olumuyiwa O. Okedeyi, Simiso Dube, Omotayo R. Awofolu, Mathew M. Nindi",2014,Mpumalanga,Industrial,Soil,THg = 0.05 - 1836,18.67,-26.28249,29.14072,Some exceedences,Some exceedences,Some exceedences,Some exceedences
4,Assessing the enrichment of heavy metals in surface soil and plant (Digitaria eriantha) around coal-fired power plants in South Africa,https://doi.org/10.1007/s11356-013-2432-1,"Olumuyiwa O. Okedeyi, Simiso Dube, Omotayo R. Awofolu, Mathew M. Nindi",2014,Free State,Industrial,Soil,THg = 0.08 - 1744,0.031,-26.74194,27.9775,Some exceedences,Some exceedences,Some exceedences,Some exceedences
4,Assessing the enrichment of heavy metals in surface soil and plant (Digitaria eriantha) around coal-fired power plants in South Africa,https://doi.org/10.1007/s11356-013-2432-2,"Olumuyiwa O. Okedeyi, Simiso Dube, Omotayo R. Awofolu, Mathew M. Nindi",2014,Gauteng,Industrial,Soil,THg = 0.07 - 1735,0.031,-25.5558,28.23834,Some exceedences,Some exceedences,Some exceedences,Some exceedences
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0065 - 0.0079 ng/m3,None,-25.944,29.792,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0065 - 0.0079 ng/m3,None,-26.62,30.091,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0079 - 0.0093 ng/m3,None,-25.961,29.339,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Free State,Industrial,Air (PHg),THg = 0.0065 - 0.0079 ng/m3,None,-26.77,28.5,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0079 - 0.0093 ng/m3,None,-26.031,29.601,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0094 - 0.0122 ng/m3,None,-26.088,28.969,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0094 - 0.0122 ng/m3,None,-26.091,29.422,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0122 - 0.0137 ng/m3,None,-26.254,29.18,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Free State,Industrial,Air (PHg),THg = 0.005 - 0.0065 ng/m3,None,-26.74,27.975,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0065 - 0.0079 ng/m3,None,-27.28,29.771,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0094 - 0.0122 ng/m3,None,-26.28,29.142,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0079 - 0.0093 ng/m3,None,-26.776,29.352,,,,Yes
6,"Bulk sampling and source apportionment of heavy metals within a gold mine area, South Africa",https://doi.org/10.1007/s10661-025-14713-z,"Nomsa Duduzile Lina Thabethe, Tafadzwa Norman Makonese, Masilu Daniel Masekameni, Derk Brouwer",2025,Mpumalanga,"Tailings, Residential",Soil,THg = <0.1 mg/kg,13.5,-26.4683,29.1076,Yes,Yes,Yes,Yes
6,"Bulk sampling and source apportionment of heavy metals within a gold mine area, South Africa",https://doi.org/10.1007/s10661-025-14713-z,"Nomsa Duduzile Lina Thabethe, Tafadzwa Norman Makonese, Masilu Daniel Masekameni, Derk Brouwer",2025,Mpumalanga,"Tailings, Residential",Soil,THg = <0.1 mg/kg,13.5,-26.5524,29.0751,Yes,Yes,Yes,Yes
7,"Chemical Composition of Clay Soil Analysis and Potential Health Risks: Experimental Study in Tshwane District, Gauteng Province",https://doi.org/10.3390/app14199152,"Mohora Feida Malebatja, Moreoagae Bertha Randa, Mathildah Mpata Mokgatle, Oluwafemi Omoniyi Oguntibeju",2024,Gauteng,Residential,Soil,THg = <0.1 mg/kg,None,-25.65985,28.44343,Yes,Yes,Yes,Yes
8,Contamination of Soils and Sediments in the Vicinity of a Mercury Recovery Plant,https://doi.org/10.1007/BF01688257,"P. Johnston, R. Stringer, M. C. French and J. Vallette",1991,KwaZulu-Natal,Industrial,Soil,THg = 0.85 - 21.4,<0.1 mg/kg,-29.7289,30.5972,Some exceedences,Yes,Yes,Yes
9,"Determination of mercury and its fractionation products in samples from legacy use of mercury amalgam in gold processing in Randfontein, South Africa",https://doi.org/10.1016/j.emcon.2016.07.003,"Tshia Malehase, Adegbenro P. Daso, Jonathan O. Okonkwo",2016,Gauteng,"Tailings, Residential",Soil,THg (tailings) = 0.890–6.755 ; THg (community) = 0.431–0.968 ; THg (garden) = 0.471–1.019,None,-26.1748,27.7023,Some exceedences,Yes,Some exceedences (tailings only),Yes
10,"Effect of Coal Mine Soil Contamination on the Elemental Uptake and Distribution in Two Edible Amaranthus Species, A. dubius and A. hybridus",https://doi.org/10.1080/03601230600704324,"Sreekanth B. Jonnalagadda, Andrew Kindness, Viren Chunilall ",2006,KwaZulu-Natal,Tailings,Soil,THg = < LOD,None,-29.8191,30.9242,Yes,Yes,Yes,Yes
11,"Environmental Risk Assessment, Principal Component Analysis, Tracking the Source of Toxic Heavy Metals of Solid Gold Mine Waste Tailings, South Africa",https://doi.org/10.1080/15275922.2023.2172478,L. V. Tibane & D. Mamba,2024,Gauteng,Tailings,Soil,THg = 0.032 - 2.360,1.4,-26.2036,27.0428,Yes,Yes,Yes,Yes
12,"Health risk assessment of dust samples (indoor and outdoor) collected from houses around a mining area in Brits, South Africa",https://purerims.smu.ac.za/en/publications/health-risk-assessment-of-dust-samples-indoor-and-outdoor-collect/,G. N. Lion and J. O. Olowoyo,2021,North West,Informal Residential,Indoor and Outdoor Dust,THg (Indoor) = <LOD - 31.4 ; THg (Outdoor) = <LOD - 16.3,None,-25.474994,27.851348,Some exceedences,Some exceedences,Some exceedences,Some exceedences (dust only)
13,"Health Risk Assessment of Heavy Metals in Soils from Witwatersrand Gold Mining Basin, South Africa",https://doi.org/10.3390/ijerph13070663,"Caspah Kamunda, Manny Mathuthu, Morgan Madhuku",2016,Gauteng,"Tailings, Residential",Soil,THg = 0.06 - 0.13,None,-26.3667,27.4833,Yes,Yes,Yes,Yes
14,"Heavy Metal Concentration in Soil in the Tailing Dam Vicinity of an Old Gold Mine in Johannesburg, South Africa.",https://doi.org/10.1139/cjss-2015-0081,R.Y. Olobatoke and M. Mathuthu,2016,Gauteng,"Tailings, Residential",Soil,THg (<63um) = 0 - 2,None,-26.1667,28.0333,Some exceedences,Yes,Yes,Yes
15,"Heavy metals in the soils of Bloemfontein, South Africa: concentration levels and possible sources",https://doi.org/10.1007/s10661-015-4608-1,"J. H. A. Clark, M. Tredoux, C. W. van Huyssteen",2015,Free State,"CBD, Industrial, Formal and Informal Residential",Soil and Indoor Dust,THg (Soil) = 0.02 - 2.15 ; THg (Dust) = 0.05 and 0.82,0.05,-29.1181,26.2223,Some exceedences ,Yes,Yes,Yes
16,Impact of Coal Mine Dump Contaminated Soils on Elemental Uptake by Spinacia Oleracea (Spinach),https://doi.org/10.1080/03601230500357447,"Viren Chunilall, Andrew Kindness, Sreekanth B. Jonnalagadda",2006,KwaZulu-Natal,Not discussed,Soil,THg = < LOD,None,-28.2,30.2,Yes,,,
17,"Impact of soil quality on elemental uptake by, and distribution in, Colocasia esculenta (Amadumbe), an edible root",https://doi.org/10.1080/03601234.2011.540526,"Mageshni Reddy, Roshila Moodley, Andrew Kindness, Sreekanth B. Jonnalagadda",2011,KwaZulu-Natal,Not discussed,Soil,THg = 158.2,None,-29.479823,31.218276,No,,,
17,"Impact of soil quality on elemental uptake by, and distribution in, Colocasia esculenta (Amadumbe), an edible root",https://doi.org/10.1080/03601234.2011.540527,"Mageshni Reddy, Roshila Moodley, Andrew Kindness, Sreekanth B. Jonnalagadda",2011,KwaZulu-Natal,Not discussed,Soil,THg = 185,None,-29.560729,31.122979,No,,,
17,"Impact of soil quality on elemental uptake by, and distribution in, Colocasia esculenta (Amadumbe), an edible root",https://doi.org/10.1080/03601234.2011.540528,"Mageshni Reddy, Roshila Moodley, Andrew Kindness, Sreekanth B. Jonnalagadda",2011,KwaZulu-Natal,Not discussed,Soil,THg = 116 ,None,-29.53034,30.933921,No,,,
17,"Impact of soil quality on elemental uptake by, and distribution in, Colocasia esculenta (Amadumbe), an edible root",https://doi.org/10.1080/03601234.2011.540529,"Mageshni Reddy, Roshila Moodley, Andrew Kindness, Sreekanth B. Jonnalagadda",2011,KwaZulu-Natal,Not discussed,Soil,THg = 185,None,-29.700468,31.012217,No,,,
17,"Impact of soil quality on elemental uptake by, and distribution in, Colocasia esculenta (Amadumbe), an edible root",https://doi.org/10.1080/03601234.2011.540530,"Mageshni Reddy, Roshila Moodley, Andrew Kindness, Sreekanth B. Jonnalagadda",2011,KwaZulu-Natal,Not discussed,Soil,THg = 127,None,-29.833055,30.926323,No,,,
17,"Impact of soil quality on elemental uptake by, and distribution in, Colocasia esculenta (Amadumbe), an edible root",https://doi.org/10.1080/03601234.2011.540531,"Mageshni Reddy, Roshila Moodley, Andrew Kindness, Sreekanth B. Jonnalagadda",2011,KwaZulu-Natal,Not discussed,Soil,THg = 102,None,-29.918007,30.966122,No,,,
17,"Impact of soil quality on elemental uptake by, and distribution in, Colocasia esculenta (Amadumbe), an edible root",https://doi.org/10.1080/03601234.2011.540532,"Mageshni Reddy, Roshila Moodley, Andrew Kindness, Sreekanth B. Jonnalagadda",2011,KwaZulu-Natal,Not discussed,Soil,THg = 118,None,-29.959529,30.967404,No,,,
17,"Impact of soil quality on elemental uptake by, and distribution in, Colocasia esculenta (Amadumbe), an edible root",https://doi.org/10.1080/03601234.2011.540533,"Mageshni Reddy, Roshila Moodley, Andrew Kindness, Sreekanth B. Jonnalagadda",2011,KwaZulu-Natal,Not discussed,Soil,THg = 1987,None,-29.98002,30.923344,No,,,
18,Levels of Heavy Metals in Grapevine Soil and Leaf Samples in Response to Seasonal Change and Farming Practice in the Cape Winelands,https://doi.org/10.3390/toxics11020193,"Amanda Mahlungulu, Learnmore Kambizi, Enoch Akinbiyi Akinpelu, Felix Nchu",2023,Western Cape,Agricultural,Soil,THg = 0.0042,0.15,-34.017,18.755,Yes,Yes,Yes,Yes
18,Levels of Heavy Metals in Grapevine Soil and Leaf Samples in Response to Seasonal Change and Farming Practice in the Cape Winelands,https://doi.org/10.3390/toxics11020194,"Amanda Mahlungulu, Learnmore Kambizi, Enoch Akinbiyi Akinpelu, Felix Nchu",2023,Western Cape,Agricultural,Soil,THg = 0.030,0.15,-33.8348,18.5911,Yes,Yes,Yes,Yes
18,Levels of Heavy Metals in Grapevine Soil and Leaf Samples in Response to Seasonal Change and Farming Practice in the Cape Winelands,https://doi.org/10.3390/toxics11020195,"Amanda Mahlungulu, Learnmore Kambizi, Enoch Akinbiyi Akinpelu, Felix Nchu",2023,Western Cape,Agricultural,Soil,THg = 0.032 ,0.15,-33.9205,19.1186,Yes,Yes,Yes,Yes
18,Levels of Heavy Metals in Grapevine Soil and Leaf Samples in Response to Seasonal Change and Farming Practice in the Cape Winelands,https://doi.org/10.3390/toxics11020196,"Amanda Mahlungulu, Learnmore Kambizi, Enoch Akinbiyi Akinpelu, Felix Nchu",2023,Western Cape,Agricultural,Soil,THg = 0.018,0.15,-33.4057,19.2374,Yes,Yes,Yes,Yes
18,Levels of Heavy Metals in Grapevine Soil and Leaf Samples in Response to Seasonal Change and Farming Practice in the Cape Winelands,https://doi.org/10.3390/toxics11020197,"Amanda Mahlungulu, Learnmore Kambizi, Enoch Akinbiyi Akinpelu, Felix Nchu",2023,Western Cape,Agricultural,Soil,THg = 0.019,0.15,-33.8369,19.9131,Yes,Yes,Yes,Yes
18,Levels of Heavy Metals in Grapevine Soil and Leaf Samples in Response to Seasonal Change and Farming Practice in the Cape Winelands,https://doi.org/10.3390/toxics11020198,"Amanda Mahlungulu, Learnmore Kambizi, Enoch Akinbiyi Akinpelu, Felix Nchu",2023,Western Cape,Agricultural,Soil,THg = 0.015,0.15,-32.9666,18.7513,Yes,Yes,Yes,Yes
19,Mapping 1995 global anthropogenic emissions of mercury ,https://doi.org/10.1016/S1352-2310(03)00239-5,"Jozef M. Pacyna, Elisabeth G. Pacyna, Frits Steenhuisen, Simon Wilson",2003,Country,,Air (PHg),THg = 0.025 - 1.5 tonnes,None,,,,,,N/A
20,Pollution effects of wastewater sludge application to sandy soils with particular reference to the behaviour of mercury,https://doi.org/10.1016/S0883-2927(97)00002-4,"Neil J. McNab, Jeff C. Hughes, John R. Howard",1997,KwaZulu-Natal,Landfill ,Soil,THg (0-10cm) =0.05 - 6.190 ; THg (90-100cm) = 0.004 - 2.793,0.087,-29.8,30.65,Some exceedences,Yes,Yes,Yes
21,Quantification of toxic metals in cropland soil using X-ray fluorescence,https://doi.org/10.17159/sajs.2023/15008,"Mashinga J. Mvelase, Paulus L. Masiteng",2023,KwaZulu-Natal,Agricultural,Soil,THg = < LOD,None,-28.8472,30.0811,Yes,Yes,Yes,Yes
22,"Seasonal distribution and speciation of mercury in a gold mining area, north-west province, South Africa",https://doi.org/10.1080/02772248.2014.947987,"J. G. Lusilao-Makiese, E. Tessier, D. Amouroux, H. Tutu, L. Chimuka, I. Weiersbye, E. M. Cukrowska",2014,North West,Mining ,Soil,IHg = 8.48 ; MHg = 0.013 ; THg = 0.01 - 10,0.06,-26.9833,26.6667,Some exceedences,,Yes,Yes
23,"Soil Pollution with Heavy Metals in Mine Environments, Impact Areas of Mine Dumps Particularly of Gold- and Copper Mining Industries in Southern Africa",https://doi.org/10.1134/S2079096111010082,K. Weissenstein and T. Sinkala,2011,Gauteng,Mining ,Soil,THg = 0 - 22.9,None,-26.35,27.3833,Some exceedences,Yes,Yes,Yes
24,"Spatial assessment of heavy metals contamination in household garden soils in rural Limpopo Province, South Africa",https://doi.org/10.1007/s10653-020-00535-0,"Thandi Kapwata, et al.",2020,Limpopo,Rural Residential,Soil,THg = < LOD - 17.8,None,-23.3,30.7167,Some exceedences,Some exceedences,Some exceedences,Yes
25,"The impact of post gold mining on mercury pollution in the West Rand region, Gauteng, South Africa",https://doi.org/10.1016/j.gexplo.2013.08.010,"J.G. Lusilao-Makiese, E.M. Cukrowska, E. Tessier, D. Amouroux, I. Weiersbye",2013,Gauteng,Mining ,Soil,THg (0-2cm) = 0.046 - 2.581,0.045,-26.104553,27.714485,Some exceedences,Yes,Yes,Yes
26,Trace metal enrichment observed in soils around a coal fired power plant in South Africa,https://doi.org/10.17159/2410-972x/2018/v28n2a1,"Amaris Dalton, Gregor T. Feig, Kaylin Barber",2018,Mpumalanga,Industrial,Soil,THg = <0.93,None,-26.1265,29.2185,Yes,Yes,Yes,Yes
27,"Translocation and accumulation of Cr, Hg, As, Pb, Cu and Ni by Amaranthus dubius (Amaranthaceae) from contaminated sites",https://doi.org/10.1080/10934520902784583,"John J. Mellem, Himansu Baijnath & Bharti Odhav",2009,KwaZulu-Natal,"Agricultural, Landill, Wastewater treatment",Soil,THg (agricultural) = 0.25 ; THg (landfill) = 1.85 ; THg (wastwater) = 0.445,None,-29.968778,30.955889,Some exceedences (landfill only),Yes,Yes,Yes
